"fed_2012","licences","ratio","age","sex","federation"
128,139,4.7545749957243,"60_74","all","Fédération Française de voile"
128,932,6.20671283963772,"all","f","Fédération Française de voile"
128,768,55.7815223707147,"10_14","all","Fédération Française de voile"
128,0,0,"75_99","f","Fédération Française de voile"
128,341,15.8966947927836,"15_19","all","Fédération Française de voile"
128,417,6.7739891811108,"20_29","all","Fédération Française de voile"
128,85,3.27932098765432,"45_59","f","Fédération Française de voile"
128,307,44.9027351177417,"10_14","f","Fédération Française de voile"
128,97,3.11086879830666,"20_29","f","Fédération Française de voile"
128,354,15.6540196338551,"45_59","h","Fédération Française de voile"
128,7,0.309078064288237,"75_99","all","Fédération Française de voile"
128,7,0.94684160692547,"75_99","h","Fédération Française de voile"
128,130,10.5553751217928,"60_74","h","Fédération Française de voile"
128,105,3.81346698627152,"30_44","f","Fédération Française de voile"
128,491,8.63402968277414,"30_44","all","Fédération Française de voile"
132,43,4.24314189855931,"15_19","h","Fédération Française de golf"
132,131,4.31233129238265,"20_29","h","Fédération Française de golf"
132,0,0,"0_4","h","Fédération Française de golf"
132,40,5.53403431101273,"5_9","h","Fédération Française de golf"
132,2339,8.20819837239743,"all","all","Fédération Française de golf"
132,244,9.41358024691358,"45_59","f","Fédération Française de golf"
132,411,14.0110452035181,"30_44","h","Fédération Française de golf"
132,93,13.4160415464512,"10_14","h","Fédération Française de golf"
132,1,0.0607127678950883,"0_4","all","Fédération Française de golf"
132,58,4.02107598447033,"5_9","all","Fédération Française de golf"
132,18,2.50138966092273,"5_9","f","Fédération Française de golf"
132,15,0.983284169124877,"75_99","f","Fédération Française de golf"
132,188,11.1111111111111,"60_74","f","Fédération Française de golf"
132,34,4.97294134854468,"10_14","f","Fédération Française de golf"
132,127,9.22428820453225,"10_14","all","Fédération Française de golf"
132,62,2.89030814414246,"15_19","all","Fédération Française de golf"
132,158,2.566643382771,"20_29","all","Fédération Française de golf"
132,19,1.67889016523814,"15_19","f","Fédération Française de golf"
132,1689,12.5297665412948,"all","h","Fédération Française de golf"
132,27,0.865911933549277,"20_29","f","Fédération Française de golf"
132,448,19.8107367117715,"45_59","h","Fédération Française de golf"
132,1,0.124984376952881,"0_4","f","Fédération Française de golf"
132,60,8.11578520221831,"75_99","h","Fédération Française de golf"
132,463,37.5933744722312,"60_74","h","Fédération Française de golf"
132,692,14.2580459059628,"45_59","all","Fédération Française de golf"
132,651,22.267829656234,"60_74","all","Fédération Française de golf"
132,650,4.32871603622802,"all","f","Fédération Française de golf"
132,75,3.31155068880254,"75_99","all","Fédération Française de golf"
132,515,9.0560596469016,"30_44","all","Fédération Française de golf"
132,104,3.77714825306893,"30_44","f","Fédération Française de golf"
245,972,3.41101702350163,"all","all","Fédération Française de la randonnée pédestre"
245,2,0.0641416247073538,"20_29","f","Fédération Française de la randonnée pédestre"
245,2,0.138657792567942,"5_9","all","Fédération Française de la randonnée pédestre"
245,3,0.182138303685265,"0_4","all","Fédération Française de la randonnée pédestre"
245,1,0.138350857775318,"5_9","h","Fédération Française de la randonnée pédestre"
245,3,0.217896571760604,"10_14","all","Fédération Française de la randonnée pédestre"
245,25,0.907968330064647,"30_44","f","Fédération Française de la randonnée pédestre"
245,386,22.8132387706856,"60_74","f","Fédération Française de la randonnée pédestre"
245,0,0,"15_19","f","Fédération Française de la randonnée pédestre"
